default,default response
"""Why aren't you flirting your face off with someone?"" I took another sip. Butterbeer had never tasted so good. I supposed it was the excitement of the party or the adrenaline of the fight or the immense relief of Harry's survival of the match, or perhaps all three.","He shrugged. ""Fred's always been the flirt. I prefer to let my naturally good looks do the talking. I am the better-looking twin, after all."""
"He shrugged. ""Fred's always been the flirt. I prefer to let my naturally good looks do the talking. I am the better-looking twin, after all.""","I rolled my eyes. ""You're identical!"""
"All eyes immediately went to the half-empty glass in my hand. I blushed. ""I thought it tasted better than usual.""","George immediately snatched it out of my grasp and took a sip to see for himself. ""Yeah, there's definitely some firewhisky in there. Going to have to cut you off, Cub."""
"George immediately snatched it out of my grasp and took a sip to see for himself. ""Yeah, there's definitely some firewhisky in there. Going to have to cut you off, Cub.""","""You're underage, too!"" I protested."
"I wrinkled my nose. ""Fine. But I can still kick your arse in a broom race.""","Everyone laughed at that. Harry turned to me, his face serious. ""Can I talk to you for a second, Lucy?"""
"""Meaning it's in danger?""","He nodded. ""I'm afraid so."""
"He nodded. ""I'm afraid so.""","I bit my lip. George was right; the firewhisky was already taking effect. It was hard to think straight. ""So what are we going to do?"""
"I bit my lip. George was right; the firewhisky was already taking effect. It was hard to think straight. ""So what are we going to do?""","""I don't know."""
"He smiled. ""Thanks, Lucy. Must have been hard to say that to the person who beat your brother.""","I smiled a bit back at him. ""I wished Cedric luck this morning, but something tells me Gryffindor throws better victory parties anyway."""
"I smiled a bit back at him. ""I wished Cedric luck this morning, but something tells me Gryffindor throws better victory parties anyway.""","Harry laughed aloud at this. ""Thanks to the twins. Speaking of, want to head back?"""
"Harry laughed aloud at this. ""Thanks to the twins. Speaking of, want to head back?""","""I think I'm going to pay Neville a visit in the Hospital Wing, actually. Want to come with me?"""
"""I think I'm going to pay Neville a visit in the Hospital Wing, actually. Want to come with me?""","""Sure, that's a good idea."""
"""I'm alright. How are you, Lucy?""","""Oh, this? It doesn't hurt anymore. I'm just glad you're okay."""
"""Oh, this? It doesn't hurt anymore. I'm just glad you're okay.""","""I — I meant... how are you with what he said? You do know that's part of why we jumped at him again, right?"""
"""I — I meant... how are you with what he said? You do know that's part of why we jumped at him again, right?""","I felt an uncomfortable heat crawl up my neck to my face. ""I know. It's not worth it, honestly."""
"I blinked. ""What?""","""Yeah. I was thinking about it a lot last night, and I think I understand now. It's okay, Cass, you know I'll love you no matter what, right?"""
"""Thank you, I'm glad to hear that. What's your name?""","""Neville. Neville Longbottom. And yours?"""
"""Trevor,"" he answered, smiling back.","""That's a nice name. You know, I've always wanted a toad. Lucy and I used to catch them when we were younger, but our parents always made us return them to the wild, saying that if we kept one, we'd have 37 before we knew it."""
"""That's a nice name. You know, I've always wanted a toad. Lucy and I used to catch them when we were younger, but our parents always made us return them to the wild, saying that if we kept one, we'd have 37 before we knew it.""","Neville laughed. ""Trevor is a good pet, but I wouldn't want 37 of him. One is more than enough for me."""
"""It's okay, I wanted to see what you were practicing. I wasn't expecting that.""","""Well, hopefully Fred and George aren't either. George turned my eyebrows purple last night at the party, and I've been working on this for a couple of weeks now, so I came out here to practice by myself before getting revenge."" "
"""Well, hopefully Fred and George aren't either. George turned my eyebrows purple last night at the party, and I've been working on this for a couple of weeks now, so I came out here to practice by myself before getting revenge."" ","""Just George? I don't think I've ever seen him and Fred apart. What was Fred doing?"""
"""Just George? I don't think I've ever seen him and Fred apart. What was Fred doing?""","""To quote George, he was 'flirting his face off' with Angelina Johnson."""
"""To quote George, he was 'flirting his face off' with Angelina Johnson.""","""Interesting."""
"""Interesting.""","""Yeah. Quidditch practice should be funny later. What brings you here, Cedric?"""
"""Yeah. Quidditch practice should be funny later. What brings you here, Cedric?""","""You,"" I answered honestly."
"""You,"" I answered honestly.","""Me? Why?"""
"""Me? Why?""","""I volunteered in the Hospital Wing this morning, and Neville Longbottom told me what happened yesterday during the match. I had to make sure you were okay."""
"""I volunteered in the Hospital Wing this morning, and Neville Longbottom told me what happened yesterday during the match. I had to make sure you were okay.""","""Yeah, I'm okay. I've gotten quite good at the healing charm you taught me. How'd you know I was here?"""
"""If it was nothing, you'd be using that perfectly good jinx against the twins instead of practicing by yourself out here.""","She hesitated. ""I don't want to talk about it, Cedric."""
"She hesitated. ""I don't want to talk about it, Cedric.""","""And that's okay. You don't have to, but I also can't help as much if I don't know what he said."""
"I pouted, making her smile even wider. ""Well, I need to make you feel better somehow. It's my job.""","""I thought you were a Seeker,"" she teased."
"""I thought you were a Seeker,"" she teased.","""I consider being a Seeker as more of a side job or a hobby, because my real job is being your brother. Besides, Harry's a better Seeker than me, but I'm a better brother than he is."""
"""I consider being a Seeker as more of a side job or a hobby, because my real job is being your brother. Besides, Harry's a better Seeker than me, but I'm a better brother than he is.""","""He happens to be an only child."""
"""He happens to be an only child.""","""And?"""
"""And?""","He shook his head. ""Fine. Dodge my concerns all you want. What does the note say?"""
"She laughed. ""You're right. You're a better brother than he is. You are a talented Seeker, though, Ced.""","""Harry set a record for catching the Snitch yesterday, but thanks for thinking so."""
"""Harry set a record for catching the Snitch yesterday, but thanks for thinking so.""","""You're a better Seeker than I am!"""
"""You're a better Seeker than I am!""","""You happen to be a Chaser."""
"""You happen to be a Chaser.""","""And?"""
"""I'm sure your friends would like to see you. Neville's been released from the Hospital Wing, but I'm not quite sure where the others are. The library, most likely?""","She shrugged. ""We finally found what we were looking for, so I'm not entirely sure what they're doing."""
"She shrugged. ""We finally found what we were looking for, so I'm not entirely sure what they're doing.""","I cocked an eyebrow. ""You were looking for something all that time?"""
"I cocked an eyebrow. ""You were looking for something all that time?""","She nodded, offering no further explanation. I was about to press for details, my curiosity piqued, when she tucked her book under her arm and rose to her feet. ""I'm actually fairly hungry. Are you?"""
"""How close were you, Cedric?"" she asked suddenly. ","""Hm? How close was I to what?"""
"""Hm? How close was I to what?""","""Catching the Snitch. I missed the end of the match."""
"""I'll be back,"" she said to whoever was watching, making eye contact with me for a split second before hurrying from the room, one hand on the back of her neck and the other closed into a tight fist.","Henry had followed my gaze and offered a gentle look. ""She didn't look too good. If you want to follow her, I'll bring food to the dorm for you."""
"""What happened?"" they asked in unison before splitting apart into their own thoughts.","""She seemed jumpy all day, but we didn't think much of it — """
"""She seemed jumpy all day, but we didn't think much of it — ""","""Then all of a sudden she just jumped up and sprinted out — """
"""Then all of a sudden she just jumped up and sprinted out — ""","""And Hermione was going to follow her when she saw you get up and go — """
"""And Hermione was going to follow her when she saw you get up and go — ""","""But we offered to instead."""
"""But we offered to instead.""","They finished together with a muted ""What happened?"""
"""How can we help?"" they asked immediately.","I bit my lip. I hadn't really been expecting that question, though in hindsight, I definitely should have. ""Right now? I need the password to get her to her dormitory somehow."""
"I bit my lip. I hadn't really been expecting that question, though in hindsight, I definitely should have. ""Right now? I need the password to get her to her dormitory somehow.""","""We can do that."""
"""We can do that.""","""Easily. Whatever will help her."""
"""But what about tomorrow? How can we help tomorrow?""","I wracked my brain. How could they help? ""Hermione already knows about, well, this. She knows how to help, and she knows how to find me if Lucy needs me. But for tomorrow, she'll be best if you just treat her like you always do. She thinks the world of you two, and she'd probably be embarrassed if she knew you knew about this."""
"""Easily. Whatever will help her.""","""What about Quidditch practice tomorrow?"""
"""What about Quidditch practice tomorrow?""","""She probably shouldn't play, right?"""
"""She probably shouldn't play, right?""","""Does Skye know?"""
"""Does Skye know?""","""Should we tell her?"""
"""Should we tell her?""","I nodded. ""I'll talk to Skye tomorrow. For tonight, let's get Lucy to bed. She doesn't normally sleep when she's like this, so it's something of a miracle and I don't want to screw it up."""
"I nodded. ""I'll talk to Skye tomorrow. For tonight, let's get Lucy to bed. She doesn't normally sleep when she's like this, so it's something of a miracle and I don't want to screw it up.""","""Understood!"" they whispered in unison. I looped my arm around her sleeping form and scooped her up. "
"""Understood!"" they whispered in unison. I looped my arm around her sleeping form and scooped her up. ","""Good thing she's a deep sleeper,"" the twin to my left remarked as we headed to the castle. "
"""Oh, we know.""","""She's becoming quite the little mischief manager."""
"""She's becoming quite the little mischief manager.""","""Don't you mean mischief maker?"" I inquired."
"""Don't you mean mischief maker?"" I inquired.","""Nope!"" they exclaimed in unison."
"Hermione answered without looking up from her book. ""You fell asleep in the courtyard after running out of the Great Hall. Cedric brought you to the portrait hole, Fred and George brought you into the common room, then Skye brought you up here.""","I glanced down quickly, relieved to see I was still in my robes and no one tried to change me into pajamas. The last thing I needed was everyone seeing my scars, especially the scar. My relief was temporary, however. ""Wait, oh Godric, what does everyone else think happened?"""
"I glanced down quickly, relieved to see I was still in my robes and no one tried to change me into pajamas. The last thing I needed was everyone seeing my scars, especially the scar. My relief was temporary, however. ""Wait, oh Godric, what does everyone else think happened?""","She shook her head. ""Cedric used the story we agreed upon. They just think you were so stressed you more or less self-destructed. Cedric and I also agreed you should miss classes today."""
"She shook her head. ""Cedric used the story we agreed upon. They just think you were so stressed you more or less self-destructed. Cedric and I also agreed you should miss classes today.""","I couldn't believe my ears. Hermione and Cedric of all people, encouraging me to skip classes? ""No! I can't! I mean, I actually managed to sleep the night before a full moon. I don't remember the last time that happened. I feel so much better than usual — """
"""Good morning, Hagrid!"" I called. He turned around and smiled when he saw who had called him.","""Mornin', Lucy! How are yeh?"""
"I talked to the egg until Hagrid returned, a book tucked securely under his arm. ""I got the book!""","""And our new little friend is in the fire!"" I reported happily."
"""And our new little friend is in the fire!"" I reported happily.","""In the fire?!"" He glanced over, panic in his eyes."
"""In the fire?!"" He glanced over, panic in his eyes.","""Don't worry, Hagrid, it's what you're supposed to do. Their mothers breathe on them, so this helps mimic that."""
"""Don't worry, Hagrid, it's what you're supposed to do. Their mothers breathe on them, so this helps mimic that.""","He relaxed slightly. ""Alright. Okay."""
"He relaxed slightly. ""Alright. Okay.""","""Let's see what the book has to say about it,"" I said, climbing into a chair at the table and gesturing for him to open it. For the next hour, we stirred chicken's blood into brandy and shut all of the windows and curtains in his hut. It grew extremely hot extremely quickly, but neither of us minded. I was about to start gathering materials to make the baby dragon a sleeping mat when there was a knock at the door."
"""Let's see what the book has to say about it,"" I said, climbing into a chair at the table and gesturing for him to open it. For the next hour, we stirred chicken's blood into brandy and shut all of the windows and curtains in his hut. It grew extremely hot extremely quickly, but neither of us minded. I was about to start gathering materials to make the baby dragon a sleeping mat when there was a knock at the door.","""Who is it?"" Hagrid called, knocking the book to the ground in his fright."
"I scrambled to pick up the book and toss it under a cushion on Hagrid's couch. ""What do I do?"" I squeaked in a whisper, hurriedly sitting on top of it. ","""Jes act natural,"" he replied as he opened the door. Of course, their eyes found me immediately."
"""Can't, Ron, sorry."" I cringed as he glanced directly at the fire, and Harry followed his gaze.","""Hagrid, what's that?"""
"Harry laughed. ""Like Ron with spiders?""","""Exactly!"""
"""Exactly!""","""Are you going to run toward me, too?"""
"""Malfoy could go to Dumbledore any day,"" Harry agreed.","""Have you mentioned any of this to Hagrid?"" Hermione asked."
"""Have you mentioned any of this to Hagrid?"" Hermione asked.","I shook my head. ""I don't want to mention it until we have a solid plan. He's grown quite attached to Norbert."""
"""Charlie!"" Harry exclaimed.","Ron rolled his eyes. ""You're as mad as Lucy. I'm Ron."""
"Ron rolled his eyes. ""You're as mad as Lucy. I'm Ron.""","""No, not you. Charlie, your brother. In Romania? Charlie could take care of Norbert until he's ready to go into the wild!"""
"I bit my lip. ""I know you can handle him, Hagrid, but, er, well... what about next week? What about when he gets even bigger?""","""I'll make it work! Good boy, Norbert!"""
"""I'll make it work! Good boy, Norbert!""","""Hagrid, you know I love Norbert as much as you do, but I, er... I think we need to start talking about releasing him. For his own good, before he gets too much bigger."""
"""Hagrid, you know I love Norbert as much as you do, but I, er... I think we need to start talking about releasing him. For his own good, before he gets too much bigger.""","He froze, rat in hand. ""But Lucy, he's too little. He'd die."""
"""What's yer plan?"" he asked, his hesitation obvious.","""Ron's brother Charlie works on a dragon sanctuary in Romania. If you agree, well, we were thinking we could send Charlie an owl asking him to take Norbert to the sanctuary until he's big enough to be released."""
"""I will be too, Hagrid. Trust me. But it's for his own good, don't you agree?""","He nodded solemnly, reaching into the crate for the final rat. Norbert caught it with a snap, chewing happily before gulping it down. I reached forward to pet his head, and he nuzzled his face against my abdomen. ""Good boy,"" I chuckled."
"""Skye sure wants the Quidditch Cup,"" Fred remarked as we headed up to the common room a week later.","""I wonder why that is,"" I retorted."
"""Good thing they're faster on brooms than on foot,"" Harry added. They tumbled into the portrait room then, wicked grins lighting their faces when they saw us.","""Good luck, Harry!"" I said quickly, turning to dart up my staircase as they pursued Harry up theirs. I reached my dormitory out of breath and sweaty, but smiling. Parvati and Lavender were giggling over a magazine when I stumbled in."
"""Good luck, Harry!"" I said quickly, turning to dart up my staircase as they pursued Harry up theirs. I reached my dormitory out of breath and sweaty, but smiling. Parvati and Lavender were giggling over a magazine when I stumbled in.","""What happened to you?"" Lavender asked, her face torn between disgust and concern."
"""What happened to you?"" Lavender asked, her face torn between disgust and concern.","I laughed. ""Don't mess with the Weasley twins. I had to run away from them all the way up here."""
"""He bit me. I told Hagrid I could handle feeding him but when I held out the rat, he bit my finger too.""","I winced. ""I'm so sorry, Ron, I thought Hagrid would have told you to throw the rat. I'll finish, you can head to the Hospital Wing."""
"""Where did he go?"" I tossed a rat to Norbert, and he caught it with a snap.","""He said a group of students tried to sneak into the Forbidden Forest or something, and one of them got separated from the rest of the group so they confessed."""
"""He does a good job of protecting you from people who actually pose no threat, so I'm sure he'd protect you in the Forbidden Forest, too. Why does he like you so much, anyway? I mean, well, you're you, so it's not that I expected him to not like you, but, well... you know?""","I laughed. ""I understand what you mean. Well, to tell you the truth, I talked to the egg a fair amount, so I suppose he recognizes my voice. My dad told me once that talking to dragon eggs will make the dragons less aggressive toward humans when they hatch, so I figured it was worth a shot."""
"I laughed. ""I understand what you mean. Well, to tell you the truth, I talked to the egg a fair amount, so I suppose he recognizes my voice. My dad told me once that talking to dragon eggs will make the dragons less aggressive toward humans when they hatch, so I figured it was worth a shot.""","""It seems to have worked, though I do wish he hadn't bitten my finger just for trying to feed him."""
"""It seems to have worked, though I do wish he hadn't bitten my finger just for trying to feed him.""","""He didn't mean to. I brought my wand, I can try a healing charm as soon as this crate's empty."""
"""He won't forget his favorite person, I'm sure.""","I smiled as I tossed the last of the rats. I settled on the couch, motioning for Ron to join me. Norbert took this as a personal invitation and crawled up beside me, but I rolled my eyes and nudged him off. ""Not you, silly."" He grunted, smoke puffing from his nostrils, and curled around my feet instead. Ron eyed the dragon apprehensively before sitting next to me."
"""Ow! Oh, well, that feels better.""","I cocked my head. ""Wait, what happened?"""
"I cocked my head. ""Wait, what happened?""","""It got really hot, then really cold, but now it feels better. See? The cut closed. Thanks, Lucy."""
"""It got really hot, then really cold, but now it feels better. See? The cut closed. Thanks, Lucy.""","""No problem! I'm glad it worked. That's interesting, though, because I've never felt that. My body heals differently, though, I've learned."""
"""No problem! I'm glad it worked. That's interesting, though, because I've never felt that. My body heals differently, though, I've learned.""","""Oh, how so?"""
"Ron laughed, hesitantly reaching down to pat the dragon's head. ""No harm no foul, mate.""","""He's really not so bad, is he?"""
"""He's really not so bad, is he?""","""No, he's not. But, er, don't tell Hermione I said that. I think she's afraid of him."""
"""No, he's not. But, er, don't tell Hermione I said that. I think she's afraid of him.""","""Sometimes I feel like I'm mad not to be,"" I admitted. "
"""Sometimes I feel like I'm mad not to be,"" I admitted. ","""No, you're not mad. I think you just choose to see the best in him rather than the worst. Hermione sees the potential to burn this whole hut down, but you see, well, this. You see a dragon that curls up like a cat around your feet and sleeps on a blanket you crocheted for him."""
"""No, you're not mad. I think you just choose to see the best in him rather than the worst. Hermione sees the potential to burn this whole hut down, but you see, well, this. You see a dragon that curls up like a cat around your feet and sleeps on a blanket you crocheted for him.""","I scrunched my nose. ""I could be crocheting 24 hours a day and still not keep up. It's over there. He outgrew it officially three days ago, but I haven't had the time to try to make it long enough again."""
"I don't know who fell asleep first, but I woke with my head on Ron's shoulder and Ron's head resting on top of mine to the sound of the front door banging open and Norbert lighting the cushion on fire with a frightened snort. Thankfully, my wand was still in my hand, so I shot off a quick ""Aguamenti!"" before the flames could spread. Norbert slunk off of our laps and greeted Hagrid with a happy snort, slithering between his legs and clamping his teeth around Hagrid's boot.","""Thanks fer takin' care of 'im,"" Hagrid said, sounding as tired as we felt."
"""Thanks fer takin' care of 'im,"" Hagrid said, sounding as tired as we felt.","""Did you find the student who got lost in the forest?"" I asked anxiously."
"""Did you find the student who got lost in the forest?"" I asked anxiously.","""I did. Found him kinda near where you were, actually."""
"""I did. Found him kinda near where you were, actually.""","I gulped. ""Was he okay?"""
"I gulped. ""Was he okay?""","""He will be. He's in the Hospital Wing now. Yeh should head up to bed now, yer both half-asleep."""
"""He will be. He's in the Hospital Wing now. Yeh should head up to bed now, yer both half-asleep.""","""I have the invisibility cloak, Lucy, we can both fit under it."""
"""What happened? Where were you?"" Hermione asked.","""Hagrid got delayed,"" Ron explained."
"""Hagrid got delayed,"" Ron explained.","""What happened to your hand?"" was her next question."
"""What happened to your hand?"" was her next question.","""He bit me, but Lucy was able to close it up."""
"""But who will go?"" Hermione asked.","""It's my brother,"" Ron replied."
"""We'll come back to get you as soon as we can, Lucy,"" Harry said.","I shook my head. ""Not worth the risk. Just go back to the common room. I'll meet you there."""
"I shook my head. ""Not worth the risk. Just go back to the common room. I'll meet you there.""","Hermione didn't like the sound of that. ""But how will you get there without getting caught?"""
"With that, Hermione and Harry and Norbert stepped into the night. I reached for Hagrid's hand, laying my small one over his massive one. ""It's okay, Hagrid, don't cry! Why don't you come sit down?"" I guided him to the couch. I was about to offer to make him tea when he began to sob. I instead searched frantically for a handkerchief. I found a napkin next to his sink and figured it was close enough. He accepted it gratefully and blew his nose so hard it honked. I wedged myself in what little space remained on the couch and ran my hand up and down his arm.","""Hey, Hagrid, I have an idea. Would you like to go with me to find Norbert one day?"""
"""Hey, Hagrid, I have an idea. Would you like to go with me to find Norbert one day?""","""What d' yeh mean, Lucy?"""
"""What d' yeh mean, Lucy?""","""Well, once I graduate, maybe the two of us could go out into the wild and find him. Do you like the sound of that?"""
"""Well, once I graduate, maybe the two of us could go out into the wild and find him. Do you like the sound of that?""","He sniffled, bringing the napkin to his eyes. ""I do. Les do that."""
"He sniffled, bringing the napkin to his eyes. ""I do. Les do that.""","I smiled. ""Sounds like a plan."""
"""At the top of the Astronomy Tower,"" Harry said. There was a pain and a fear and a brokenness in both his and Hermione's eyes that made my heart ache for them. I wanted to reach forward. I wanted to fix it, whatever had happened, but I knew I couldn't.","Instead, I took a deep breath. ""You don't have to tell me what happened, but whatever it is, I know it'll be okay."""
"""Do you want to talk about it? Or would you rather sleep?""","Harry sighed shakily. ""We'll tell you and Ron at the same time. I... I don't have the heart to talk about it more than once."""
"Harry sighed shakily. ""We'll tell you and Ron at the same time. I... I don't have the heart to talk about it more than once.""","""Okay. Good night, Harry."""
"""Okay. Good night, Harry.""","""Good night,"" he replied, heading the same way Neville had. It turned to Hermione, whose eyes were now brimming with tears. I reached forward and hugged her; she hugged back with such force I wondered for half a second if she could possibly break my ribs anew. But she didn't, and I held her for a long time as she sobbed into my shoulder. I gathered bits and pieces of the story, though it was quite difficult to discern half of what she said. Malfoy had known about their plan and alerted Filch. Neville had somehow known, too, and tried to warn them, but had gotten caught instead. Her tears eventually dried, and we headed up to our own dormitory. Lavender and Parvati had never known we were gone. I climbed into bed like Hermione, but my night wasn't quite over yet. I waited until she was sound asleep, then crawled from bed one more time that night. "
"""You were right. Nothing's here. But that just baffles me all the more.""","""I'm sure there's a very logical explanation for this unusual behavior,"" Professor Dumbledore said."
"""I'm sure there's a very logical explanation for this unusual behavior,"" Professor Dumbledore said.","""I don't understand how you're so calm about all of this. Four students out of bed in one night, while we have the Philosopher's Stone in the castle! And for what, a dragon story?"""
"When Hermione stopped answering questions in class, I began to raise my hand more and more. Harry offered to quit the Quidditch team, which Skye immediately shot down, but everyone on the team referred to him as ""the Seeker"" rather than Harry. My pleas to treat my friends like people fell on deaf ears, but I tried anyway.","""Lucy, you don't have to burn all of your bridges,"" Harry said one day as we returned from practice."
"""Lucy, you don't have to burn all of your bridges,"" Harry said one day as we returned from practice.","I grinned. ""Was that a dragon joke?"""
"I grinned. ""Was that a dragon joke?""","He laughed a little. ""No, I was being serious. I mean, it wasn't you who got caught. It wasn't you who left the invisibility cloak at the top of the astronomy tower. You were the one who saved it from being seen by Dumbledore and McGonagall, after all. People have no reason to shun you the way they have, and you shouldn't be burning bridges just because we were stupid."""
"He laughed a little. ""No, I was being serious. I mean, it wasn't you who got caught. It wasn't you who left the invisibility cloak at the top of the astronomy tower. You were the one who saved it from being seen by Dumbledore and McGonagall, after all. People have no reason to shun you the way they have, and you shouldn't be burning bridges just because we were stupid.""","""I'm not the one burning bridges, they are. And you weren't stupid, accidents happen even when we try to do the right thing. I'm going to stand by you, and Hermione, and Neville, and so is Ron. If everyone thinks that's the wrong decision, why should I care? I know the truth about what happened that night, so why would I join everyone else in shunning you?"""
"My eyes wandered to the sofa, where the burn mark remained. I nodded. ""Yeah, I remember.""","""Well, when we found 'im, he was blubbering about a dead unicorn in the forest. It sounded like rubbish of course, because killin' a unicorn... that's just..."""
"""You alright, Lucy?"" he asked. ","I managed a nod. ""Just feeling a little off today."""
"""Lucy? Are you okay?""","I shook myself free and forced myself to stand up straight as I turned to face Fred. ""Guess this is why first-years shouldn't be on Quidditch teams. We get a little dizzy after taking a Bludger to the back of the head."" I limped into the locker room to toss Cedric's broom into his locker before heading to Hagrid's."
"I shook myself free and forced myself to stand up straight as I turned to face Fred. ""Guess this is why first-years shouldn't be on Quidditch teams. We get a little dizzy after taking a Bludger to the back of the head."" I limped into the locker room to toss Cedric's broom into his locker before heading to Hagrid's.","""You alrigh', Lucy?"" he asked as soon as he opened the door."
"Intrigued, I lifted the cup to my lips and took a small sip. The liquid inside burned all the way down my throat, but I didn't mind. It burned away the awful taste of wolfsbane. I coughed, then smiled. ""Firewhisky?""","Hagrid smiled back. ""Reckon you can keep another secret?"""
"Hagrid smiled back. ""Reckon you can keep another secret?""","I nodded. ""It's already helping. Thank you."" It was true. The steady throbbing in the back of my head was already easing. "
"I nodded. ""It's already helping. Thank you."" It was true. The steady throbbing in the back of my head was already easing. ","""Don't drink more 'n that, but that should be enough. D'yeh want ter talk about practice?"""
"""Don't drink more 'n that, but that should be enough. D'yeh want ter talk about practice?""","I shook my head. ""It's okay. Er, well, it will be. I just don't want to face anyone on the team quite yet."""
"""Looking for Astronomy notes?"" I asked.","She nodded, turning around quickly. ""Harry told us what happened. Are you alright?"""
"She nodded, turning around quickly. ""Harry told us what happened. Are you alright?""","I nodded. ""I was too dizzy to try the staircases, so I went to Hagrid's instead. I feel better now, but not great."""
"I nodded. ""I was too dizzy to try the staircases, so I went to Hagrid's instead. I feel better now, but not great.""","""You don't look that great, but you never do this close to a full moon."""
"""Alright. Want me to dry your hair?""","I pushed myself to a sitting position and reached for my wand. ""It's okay. A braiding charm and the fireplace will do for tonight."" I dug my notes out of my trunk and headed down the stairs. "
"I blushed. ""I'm sorry I couldn't find more. I'd be happy to take you to where I found the trails.""","""I think I know where you might've seen 'em. I'll take Fang later today and see fer myself. You run up to the castle now, yeh've done yer part."""
"""I think I know where you might've seen 'em. I'll take Fang later today and see fer myself. You run up to the castle now, yeh've done yer part.""","""Are you sure?"""
"""Are you sure?""","""Well, yes, you're a perfectly normal human temperature and, last I checked, staring at you didn't burn anyone's eyes to crisps."""
"""I don't know a spell to get the glitter off, and you promised not to tell anyone it was my birthday. How will I explain this?""","""Well, look in the box. Maybe that'll help."""
"""Well, look in the box. Maybe that'll help.""","""If a red glitter bomb goes off, I won't hesitate to hex you so hard you — """
"""Don't worry, I reserve my mischief for the red-headed nuisances. You should be safe.""","""Should be?"""
"Harry sighed. ""Professor McGonagall agreed to it, so how bad can it be?""","""She wouldn't let anything get out of hand,"" I assured him. "
"Harry nodded vigorously. ""But if Snape wants the Stone for Voldemort, it wouldn't matter that his life is cursed, he'd live forever. And all this time, we thought Snape just wanted to get rich, but Voldemort's waiting in the forest — ""","""Stop saying the name!"" Ron gasped. Harry didn't seem to hear him and kept talking, but whether it was to himself or to us it was hard to tell."
"""Will you stop saying the name?"" Ron begged.","""Harry, if you think for a second we'll let You-Know-Who finish you off, so to speak, think again,"" I said."
"""Thank you, and so will you,"" I replied, offering the most encouraging smile I could find.","""Do you want to go to the greenhouses with me afterwards? To relax a bit? Professor Sprout said she could use some help, and when I asked if you could come too, she said you were more than welcome."""
"""Do you want to go to the greenhouses with me afterwards? To relax a bit? Professor Sprout said she could use some help, and when I asked if you could come too, she said you were more than welcome.""","""Sure, Neville, that'd be great."" Assuming I survive this exam, anyway. He smiled even wider, and we entered the room together with Harry, Ron, and Hermione. We took our seats and set to work."
"""I'm heading down to the greenhouses with Neville, but I'll catch up with you later in the common room!""","""Alright, see you later!"""
"""Alright, see you later!""","I turned to Neville. ""Ready?"""
"I turned to Neville. ""Ready?""","He nodded. ""Plants are better than history anyway."""
"He nodded. ""Plants are better than history anyway.""","I laughed. ""I couldn't agree more. I feel so much better now that exams are done. How about you?"""
"""It already is. You did your best, and that's all that matters, right?""","""Not to my gran. I don't want to disappoint her. I already did with the whole... dragon thing."""
"""Not to my gran. I don't want to disappoint her. I already did with the whole... dragon thing.""","""Even then, you tried to do what was right, and that means a lot even if it didn't work out the way you wanted."""
"""Even then, you tried to do what was right, and that means a lot even if it didn't work out the way you wanted.""","""I guess."""
"""One of the plants you'll be studying next year needs to be planted now so they can grow over summer. You'll likely not need these, but better safe than sorry,"" she explained as she passed us earmuffs.","""Are we planting Mandrakes?"" Neville asked excitedly."
"""Are we planting Mandrakes?"" Neville asked excitedly.","Professor Sprout nodded. ""We certainly are, Mr. Longbottom! Now let me demonstrate what to do. Earmuffs on, please, I'd rather not take unnecessary risks."""
"""Bye, Neville!"" I called as he climbed the stairs to his dormitory. I was about to take a shower of my own when Harry, Ron, and Hermione burst through the portrait hole.","""Lucy!"" they exclaimed in unison. I whirled around, and they all began to speak at once, various expressions of fear and concern and anxiety on their faces."
"""Hagrid told us about how he got Norbert from a guy in a cloak and now we know that — ""","""Snape knows how to get past Fluffy and — """
"""Snape knows how to get past Fluffy and — ""","""And we tried to go after him ourselves but — """
"""And we tried to go after him ourselves but — ""","""McGonagall held us up and — """
"""McGonagall held us up and — ""","""Hermione couldn't do her part and — """
"""Hermione couldn't do her part and — ""","""Hey! I tried but — """
"""Hey! I tried but — ""","""And now we have to go after the Stone — """
"""And now we have to go after the Stone — ""","""Tonight!"" they all finished once again in unison."
"""You survived your first round of final exams! How'd it go?""","""Pretty well, I hope,"" I replied, sitting behind him and ducking as the stinky spray exploded in his face."
"""Pretty well, I hope,"" I replied, sitting behind him and ducking as the stinky spray exploded in his face.","Cedric turned to me. ""Want to play? I'm sure you're better than I am."""
"""You're exaggerating, Hen, I'm sure you did alright,"" Cedric asserted, ever the diplomat.","""Being professor's pet doesn't guarantee anything in that class, because if it did, I would have perfect marks,"" he argued with a laugh."
"""Being professor's pet doesn't guarantee anything in that class, because if it did, I would have perfect marks,"" he argued with a laugh.","""Who's the professor for that class?"" I asked."
"""Who's the professor for that class?"" I asked.","""Professor Babbling,"" Cedric answered."
"I slipped away and caught Cedric walking by himself. I breathed a small sigh of relief. ""Cedric?"" I called.","He turned around, already smiling. ""Hi, Lu. What's on your mind?"""
"""Already asleep. He wasn't kidding about that Ancient Runes exam.""","""That hard?"""
"""That hard?""","He nodded. ""I don't usually complain about exams, but that one was hard."""
"""Something's definitely on your mind,"" he remarked.","""What makes you think that?"""
"""What makes you think that?""","""Because in case you hadn't noticed, four of us are covered in Grawp's blood and we know Hagrid lures thestrals with raw meat, so that's probably why these two turned up in the first place."""
